data,hora,abertura,maximo,minimo,fechamento_atual,negocios,quantidade_papeis,<SPREAD>
2013/10/31,15:30:00,54385,54495,54355,54455,30410,7781,5
2013/10/31,15:45:00,54460,54490,54325,54420,28420,7452,5
2013/10/31,16:00:00,54430,54450,54180,54440,31580,8073,5
2013/10/31,16:15:00,54445,54595,54375,54530,28380,7080,5
2013/10/31,16:30:00,54535,54730,54520,54630,31050,8326,5
2013/10/31,16:45:00,54630,54650,54510,54555,35030,8538,5
2013/10/31,17:00:00,54555,54675,54435,54470,34370,8580,5
2013/10/31,17:15:00,54470,54580,54465,54465,16950,4038,5
2013/10/31,17:30:00,54465,54510,54360,54415,13600,3918,5
2013/10/31,17:45:00,54435,54435,54355,54410,6620,2481,5
2013/11/01,09:00:00,54700,54700,54410,54440,11850,3615,5
2013/11/01,09:15:00,54440,54455,54360,54435,7400,1716,5
2013/11/01,09:30:00,54440,54450,54290,54300,14410,3824,5
2013/11/01,09:45:00,54305,54405,54270,54380,10930,2768,5
2013/11/01,10:00:00,54375,54475,54330,54445,17650,4760,5
2013/11/01,10:15:00,54445,54690,54445,54675,36180,9194,5
2013/11/01,10:30:00,54675,54690,54390,54390,40170,9826,5
2013/11/01,10:45:00,54385,54400,54050,54055,39180,9496,5
2013/11/01,11:00:00,54070,54185,53985,54075,32910,7662,5
2013/11/01,11:15:00,54065,54210,54050,54210,21280,5014,5
2013/11/01,11:30:00,54200,54295,54140,54275,36750,8873,5
2013/11/01,11:45:00,54285,54570,54285,54500,36330,8773,5
2013/11/01,12:00:00,54490,54530,54315,54335,33600,7818,5
2013/11/01,12:15:00,54335,54380,54185,54310,34290,8160,5
2013/11/01,12:30:00,54305,54475,54240,54450,27940,6342,5
2013/11/01,12:45:00,54455,54455,54245,54370,24970,5798,5
2013/11/01,13:00:00,54375,54420,54215,54215,22180,5204,5
2013/11/01,13:15:00,54215,54260,54125,54165,25150,5922,5
2013/11/01,13:30:00,54170,54280,54050,54080,21060,4998,5
2013/11/01,13:45:00,54095,54150,54020,54075,21810,5234,5
2013/11/01,14:00:00,54070,54190,54020,54160,18300,4235,5
